cover,title,author,publisher,isbn,timestamp,activity,details,library
https://img1.od-cdn.com/ImageType-100/7635-1/{C0275000-4168-48E9-AD58-E1CD1D57A38F}IMG100.JPG,Tress of the Emerald Sea,Brandon Sanderson,"Dragonsteel, LLC",9781938570346,"April 28, 2023 15:22",Borrowed, 14 days ,St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/0017-1/{408231EB-FD48-4383-8EDA-F13493D79FB8}Img100.jpg,Deep Work,Cal Newport,Grand Central Publishing,9781455586660,"April 25, 2023 20:07",renew,"",St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/0111-1/{92DE57BF-8FDD-488C-8D5E-AB43280EAB4A}IMG100.JPG,Playing God,Mary Jo McConahay,Melville House,9781685890292,"April 25, 2023 20:07",Returned, 10 days  early,St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/0111-1/{92DE57BF-8FDD-488C-8D5E-AB43280EAB4A}IMG100.JPG,Playing God,Mary Jo McConahay,Melville House,9781685890292,"April 22, 2023 14:54",renew,"",St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/0017-1/{408231EB-FD48-4383-8EDA-F13493D79FB8}Img100.jpg,Deep Work,Cal Newport,Grand Central Publishing,9781455586660,"April 14, 2023 15:24",Borrowed, 14 days ,St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/2363-1/{B4C4B5F0-504E-41D4-B33D-E89A9377808D}IMG100.JPG,That Day the Rabbi Left Town,Harry Kemelman,Open Road Media,9781504016148,"April 14, 2023 15:24",Returned, 4 days  early,Indiana Digital Library
https://img3.od-cdn.com/ImageType-100/0017-1/{408231EB-FD48-4383-8EDA-F13493D79FB8}Img100.jpg,Deep Work,Cal Newport,Grand Central Publishing,9781455586660,"April 12, 2023 13:23",Returned,on due date,St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/0111-1/{92DE57BF-8FDD-488C-8D5E-AB43280EAB4A}IMG100.JPG,Playing God,Mary Jo McConahay,Melville House,9781685890292,"April 11, 2023 03:18",Borrowed, 14 days ,St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/0017-1/{408231EB-FD48-4383-8EDA-F13493D79FB8}Img100.jpg,Deep Work,Cal Newport,Grand Central Publishing,9781455586660,"April 10, 2023 02:40",Placed on hold,"",St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/2691-1/{60F83DE6-7E25-4B76-A2A6-8B1CB130B79E}IMG100.JPG,The Introvert's Complete Career Guide,Jane Finkle,Red Wheel Weiser,9781632658760,"April 07, 2023 01:59",Returned, 2 days  early,Indiana Digital Library
https://img1.od-cdn.com/ImageType-100/2363-1/{5995FE6A-4EE1-4F55-9424-EBA0D73130EF}IMG100.JPG,One Fine Day the Rabbi Bought a Cross,Harry Kemelman,Open Road Media,9781504016124,"April 07, 2023 01:58",Returned, 2 days  early,Indiana Digital Library
https://img2.od-cdn.com/ImageType-100/2363-1/{B4C4B5F0-504E-41D4-B33D-E89A9377808D}IMG100.JPG,That Day the Rabbi Left Town,Harry Kemelman,Open Road Media,9781504016148,"April 05, 2023 02:56",Borrowed, 14 days ,Indiana Digital Library
https://img1.od-cdn.com/ImageType-100/7635-1/{C0275000-4168-48E9-AD58-E1CD1D57A38F}IMG100.JPG,Tress of the Emerald Sea,Brandon Sanderson,"Dragonsteel, LLC",9781938570346,"March 31, 2023 03:20",Placed on hold,"",St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/0017-1/{408231EB-FD48-4383-8EDA-F13493D79FB8}Img100.jpg,Deep Work,Cal Newport,Grand Central Publishing,9781455586660,"March 29, 2023 13:23",Borrowed, 14 days ,St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/2363-1/{0FD3E509-D323-4699-A430-B86D4FC40245}IMG100.JPG,Someday the Rabbi Will Leave,Harry Kemelman,Open Road Media,9781504016117,"March 29, 2023 13:23",Returned, 2 days  early,Indiana Digital Library
https://img2.od-cdn.com/ImageType-100/2691-1/{60F83DE6-7E25-4B76-A2A6-8B1CB130B79E}IMG100.JPG,The Introvert's Complete Career Guide,Jane Finkle,Red Wheel Weiser,9781632658760,"March 27, 2023 01:18",renew,"",Indiana Digital Library
https://img1.od-cdn.com/ImageType-100/2363-1/{5995FE6A-4EE1-4F55-9424-EBA0D73130EF}IMG100.JPG,One Fine Day the Rabbi Bought a Cross,Harry Kemelman,Open Road Media,9781504016124,"March 26, 2023 17:25",Borrowed, 14 days ,Indiana Digital Library
https://img2.od-cdn.com/ImageType-100/0111-1/{65577D30-0EA8-4BCA-80D1-EFDF4A192439}Img100.jpg,The Winter of the Witch,Katherine Arden,Random House Worlds,9781101886007,"March 26, 2023 17:25",Returned, 6 days  early,St. Joseph County Public Library
https://img2.od-cdn.com/ImageType-100/0111-1/{65577D30-0EA8-4BCA-80D1-EFDF4A192439}Img100.jpg,The Winter of the Witch,Katherine Arden,Random House Worlds,9781101886007,"March 19, 2023 00:41",renew,"",St. Joseph County Public Library
https://img1.od-cdn.com/ImageType-100/2363-1/{0FD3E509-D323-4699-A430-B86D4FC40245}IMG100.JPG,Someday the Rabbi Will Leave,Harry Kemelman,Open Road Media,9781504016117,"March 18, 2023 01:10",Borrowed, 14 days ,Indiana Digital Library
https://img2.od-cdn.com/ImageType-100/2691-1/{60F83DE6-7E25-4B76-A2A6-8B1CB130B79E}IMG100.JPG,The Introvert's Complete Career Guide,Jane Finkle,Red Wheel Weiser,9781632658760,"March 15, 2023 18:10",Borrowed, 14 days ,Indiana Digital Library
https://img2.od-cdn.com/ImageType-100/0017-1/{48F19033-427C-449A-861B-8176C5BCA8E8}IMG100.JPG,Inciting Joy,Ross Gay,Algonquin Books,9781643753485,"March 15, 2023 14:05",Returned, 5 days  early,St. Joseph County Public Library
https://img3.od-cdn.com/ImageType-100/0027-1/{70207BB4-90AC-427F-BE5E-128F41B4C7A2}Img100.jpg,Thursday the Rabbi Walked Out,Harry Kemelman,RosettaBooks,"","March 12, 2023 17:45",Returned, 6 days  early,The Ohio Digital Library
